127.0.0.1 - - [01/Apr/2019:17:11:04 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:29 +0200] "GET /Magellan/resources/autre/grece.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:29 +0200] "GET /Magellan/contact.xhtml HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:29 +0200] "GET /Magellan/resources/autre/link.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:29 +0200] "GET /Magellan/resources/autre/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:29 +0200] "GET /Magellan/resources/autre/mail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:29 +0200] "GET /Magellan/resources/autre/fond.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:38 +0200] "GET /Magellan/qui.xhtml HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:12:41 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20955
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:13:05 +0200] "GET /Magellan/reservationpop.xhtml HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:13:05 +0200] "GET /Magellan/monscript.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/inprogress.xhtml HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=64DF32280A1F42ABD62D557D37BA5BAD?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/javax.faces.resource/components.css.xhtml;jsessionid=64DF32280A1F42ABD62D557D37BA5BAD?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/resources/autre/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/javax.faces.resource/components.js.xhtml;jsessionid=64DF32280A1F42ABD62D557D37BA5BAD?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/javax.faces.resource/core.js.xhtml;jsessionid=64DF32280A1F42ABD62D557D37BA5BAD?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/resources/autre/link.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/resources/autre/mail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /Magellan/resources/autre/wip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:14:17 +0200] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:27:56 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20957
